"PLS","mean_t_2016","mean_t_4_5","mean_t_8_5","sum_p_2016","sum_p_4_5","sum_p_8_5","var_t_2016","var_t_4_5","var_t_8_5"
"1",10.0286426544189,10.870267868042,10.3526258468628,357.189453125,362.884918212891,358.132446289062,5.26143741607666,5.25724172592163,5.11885499954224
"2",8.99064922332764,10.5667753219604,8.93261241912842,218.941207885742,221.77734375,235.744491577148,7.67692899703979,7.50756072998047,7.22010087966919
"3",12.3999280929565,12.9700765609741,12.8741388320923,324.034271240234,318.406494140625,357.952056884766,7.15336561203003,7.18866872787476,7.00102806091309
"4",17.3830337524414,18.0016212463379,18.9520435333252,170.745193481445,189.61408996582,150.817840576172,7.67341470718384,7.51555395126343,7.83949851989746
"5",12.2548446655273,12.9922761917114,12.4880027770996,286.104583740234,301.116058349609,307.134918212891,8.356614112854,8.29942512512207,7.89848613739014
"6",11.5626878738403,12.2803964614868,11.8304862976074,292.959381103516,304.630676269531,302.093200683594,5.9733738899231,5.97522163391113,5.81834506988525
"7",14.5320806503296,14.8649501800537,15.8599843978882,230.356719970703,263.501373291016,253.564117431641,10.0853567123413,9.97866535186768,10.0523767471313
"8",15.3501586914062,15.8901252746582,15.9445152282715,249.552093505859,283.025115966797,265.613952636719,8.79303741455078,8.63845252990723,8.52493381500244
"9",12.0807685852051,12.9505310058594,12.1460828781128,241.682739257812,237.929107666016,276.028106689453,7.83938550949097,7.98065328598022,7.33789443969727
"10",12.700080871582,13.5161323547363,12.9612197875977,279.733856201172,273.045959472656,293.113067626953,7.0214524269104,7.18326711654663,6.81066083908081
"11",11.6734409332275,12.5809259414673,11.8353929519653,279.015258789062,262.180816650391,301.080902099609,6.91822528839111,7.24251317977905,6.61908006668091
"12",15.1463985443115,15.7244539260864,16.4335689544678,323.593139648438,347.980041503906,308.545349121094,8.32001972198486,8.15924644470215,8.42695236206055
"13",10.136625289917,11.4996938705444,10.157374382019,250.967346191406,254.585433959961,264.967041015625,7.61203861236572,7.62643623352051,7.15057754516602
"14",4.75916385650635,6.38720369338989,4.96382331848145,341.682250976562,342.973297119141,312.253723144531,6.11703634262085,6.15411567687988,6.14803981781006
"15",8.76307678222656,10.2209482192993,8.84868621826172,191.886947631836,195.295745849609,198.873016357422,5.80106639862061,5.66223955154419,5.41106796264648
"16",15.1564674377441,15.6448516845703,15.7768478393555,281.814331054688,305.620422363281,283.388031005859,9.19587230682373,9.04467964172363,8.96935653686523
"17",10.5470542907715,11.6293516159058,10.7313852310181,237.477966308594,228.862548828125,237.029174804688,5.07647275924683,5.26920032501221,4.8629093170166
"18",10.5684280395508,11.2305631637573,11.6665153503418,504.484313964844,521.4755859375,505.303070068359,8.16335678100586,8.13106250762939,8.22081184387207
"19",12.2256860733032,12.8625183105469,12.8274326324463,380.816253662109,398.018249511719,396.741180419922,8.69285583496094,8.63697814941406,8.45853614807129
"21",14.1865396499634,14.5886631011963,14.8432683944702,326.325927734375,331.541687011719,369.891082763672,7.96686506271362,7.94535255432129,7.81474256515503
"22",9.58662223815918,11.0375671386719,9.45519638061523,235.124374389648,226.823364257812,262.929321289062,7.40975046157837,7.20466947555542,6.76040410995483
"23",13.0225419998169,13.6475782394409,13.4531898498535,306.990295410156,288.935607910156,334.629821777344,7.88316583633423,7.99307441711426,7.67356061935425
"24",17.7058944702148,18.1597671508789,18.9239273071289,178.837310791016,225.198547363281,197.078048706055,9.90870761871338,9.84119892120361,9.76558208465576
"25",6.2228422164917,7.92655849456787,6.26278734207153,236.91877746582,238.728820800781,225.657562255859,7.83327102661133,7.71984958648682,7.57841157913208
"europe",10.69690990448,11.6949214935303,11.1453533172607,294.044982910156,302.810882568359,298.712158203125,7.75735139846802,7.72015380859375,7.56718397140503
