"PLS","variable","initial","nac","nfn","nfs","ssp1","ssp3"
"1","urban",0.0604136921465397,0.0672420337796211,0.0649347417056561,0.067198384553194,0.0770324431359768,0.0631949175149202
"1","farmland_low",0.0599896484591227,0.102693297347287,0.0952226567897014,0.0919924452027772,0.0444995990983443,0.0572645459324121
"1","farmland_medium",0.190127275884151,0.145384473726153,0.145509193651378,0.164061089977622,0.139990394935012,0.185774590820074
"1","farmland_high",0.168756742961705,0.167303770780563,0.171837291378324,0.15034204069525,0.175030089914799,0.170078761875629
"1","forest_lowmedium",0.0458278525620699,0.0543648405000567,0.0406146142631769,0.0799820423126221,0.0469877356663346,0.0488023888319731
"1","forest_high",0.0371848531067371,0.0608751513063908,0.00083561462815851,0.0130019141361117,0.022761145606637,0.0368855260312557
"1","landscape_div",0.116674252785742,0.124612595420331,0.22191804414615,0.157700438052416,0.238162648165599,0.139803320169449
"10","urban",0.240586146712303,0.272496752440929,0.250280506908894,0.276760466396809,0.298550330102444,0.267918854951859
"10","farmland_low",0.0124994387151673,0.0159328573208768,0.0305865985974378,0.0131277771433815,0.00356806244235486,0.0246622685226612
"10","farmland_medium",0.11702795792371,0.0679951529018581,0.0711368415504694,0.0364884886657819,0.0479107751161791,0.0765899210236967
"10","farmland_high",0.421996315941215,0.436380766681395,0.45938244368881,0.45971903699683,0.427651364741905,0.433553249342367
"10","forest_lowmedium",0.0359274719376117,0.015416722279042,0.0218796287663281,0.0203087832778692,0.0172792964149266,0.0243480986100622
"10","forest_high",0.0261433515697718,0.0450608134269714,0.0489430464804173,0.0518378876149654,0.0560791715979576,0.0281854495406151
"10","landscape_div",0.159104167134501,0.120910190104041,0.0983573452103883,0.127552619669586,0.12405188404955,0.160293521359563
"11","urban",0.128651525825262,0.157093986868858,0.136405967175961,0.163499005138874,0.169514395296574,0.151886347681284
"11","farmland_low",0.0267034111311659,0.0787323015392758,0.0650860015302896,0.0543476195307449,0.00897082568553742,0.0289556204807013
"11","farmland_medium",0.27839969471097,0.19749120529741,0.242887008935213,0.172479329630733,0.14584244042635,0.223567422479391
"11","farmland_high",0.265076505485922,0.2525420547463,0.246336591197178,0.262301624530664,0.229031644317729,0.26113276425167
"11","forest_lowmedium",0.0248503276379779,0.0106053408235312,0.0163831613026559,0.0168202985078096,0.00955050869379193,0.0299819441861473
"11","forest_high",0.0636225417256355,0.105160124599934,0.0975482240319252,0.133346006274223,0.241214483976364,0.0968069955706596
"11","landscape_div",0.16797491395846,0.11698184866691,0.122484080027789,0.115822486171965,0.105901356961112,0.157208019867539
"12","urban",0.0630262400954962,0.0658579263836145,0.0641379859298468,0.0738853923976421,0.0742548834532499,0.0700433254241943
"12","farmland_low",0.164796859957278,0.12884165905416,0.122115588048473,0.111047167534707,0.130587753723375,0.166029593208805
"12","farmland_medium",0.173766047460958,0.128472171811154,0.149758843952441,0.137807576335035,0.121334098599618,0.126068831945304
"12","farmland_high",0.0209171916271771,0.0384500937070698,0.0308934842469171,0.0385481893026736,0.0415597149403766,0.0444666080875322
"12","forest_lowmedium",0.34378157556057,0.321579322218895,0.331666797399521,0.321876898407936,0.375606968998909,0.377892583608627
"12","forest_high",0.0162576641887426,0.0477429889142513,0.0321491062641144,0.0322831682860851,0.0193901732563972,0.0150837898254395
"12","landscape_div",0.135031477599114,0.19367611958296,0.179566738312133,0.205879178014584,0.12774626200553,0.0701806591823697
"13","urban",0.0173959247767925,0.0194681333377957,0.0208921125158668,0.0194309400394559,0.0235647307708859,0.0444462141022086
