year,sci_name_out,count,area_sampled_m2,Long_LAEA,Lat_LAEA,siteID,scheme_code
2000,Species1,15,1507968,4836978.94550338,2802919.65755798,Site_1,scheme_code1
2001,Species1,14,1507968,4836978.94550338,2802919.65755798,Site_1,scheme_code1
2002,Species1,18,1507968,4836978.94550338,2802919.65755798,Site_1,scheme_code1
2003,Species1,28,1507968,4836978.94550338,2802919.65755798,Site_1,scheme_code1
2004,Species1,28,1507968,4836978.94550338,2802919.65755798,Site_1,scheme_code1
2005,Species1,20,1507968,4836978.94550338,2802919.65755798,Site_1,scheme_code1
2006,Species1,20,1507968,4836978.94550338,2802919.65755798,Site_1,scheme_code1
2008,Species1,23,1507968,4836978.94550338,2802919.65755798,Site_1,scheme_code1
2009,Species1,18,1507968,4836978.94550338,2802919.65755798,Site_1,scheme_code1
2010,Species1,23,1507968,4836978.94550338,2802919.65755798,Site_1,scheme_code1
2001,Species1,47,1709030.4,4797937.96613196,2787639.602117,Site_2,scheme_code1
2002,Species1,57,1709030.4,4797937.96613196,2787639.602117,Site_2,scheme_code1
2003,Species1,0,1709030.4,4797937.96613196,2787639.602117,Site_2,scheme_code1
2004,Species1,0,1709030.4,4797937.96613196,2787639.602117,Site_2,scheme_code1
2005,Species1,0,1709030.4,4797937.96613196,2787639.602117,Site_2,scheme_code1
2006,Species1,0,1709030.4,4797937.96613196,2787639.602117,Site_2,scheme_code1
2007,Species1,65,1709030.4,4797937.96613196,2787639.602117,Site_2,scheme_code1
2008,Species1,0,1709030.4,4797937.96613196,2787639.602117,Site_2,scheme_code1
2009,Species1,0,1709030.4,4797937.96613196,2787639.602117,Site_2,scheme_code1
2010,Species1,70,1709030.4,4797937.96613196,2787639.602117,Site_2,scheme_code1
2011,Species1,68,1709030.4,4797937.96613196,2787639.602117,Site_2,scheme_code1
2012,Species1,0,1709030.4,4797937.96613196,2787639.602117,Site_2,scheme_code1
2013,Species1,0,1709030.4,4797937.96613196,2787639.602117,Site_2,scheme_code1
2014,Species1,62,1709030.4,4797937.96613196,2787639.602117,Site_2,scheme_code1
2015,Species1,0,1709030.4,4797937.96613196,2787639.602117,Site_2,scheme_code1
2016,Species1,65,1709030.4,4797937.96613196,2787639.602117,Site_2,scheme_code1
2017,Species1,65,1709030.4,4797937.96613196,2787639.602117,Site_2,scheme_code1
2018,Species1,0,1709030.4,4797937.96613196,2787639.602117,Site_2,scheme_code1
2019,Species1,69,1709030.4,4797937.96613196,2787639.602117,Site_2,scheme_code1
2020,Species1,0,1709030.4,4797937.96613196,2787639.602117,Site_2,scheme_code1
